Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Medalla
Asia Wine Trophy 2022,LES DARONS,2020,SAS Jeff Carrel,Francia,Languedoc,Vino tranquilo,Seco,Hormigón,tinto,"Carignan Noir, Grenache, Syrah","14,72","3,56","0,86",88,"8,5",Gold
Asia Wine Trophy 2022,Mazers,2020,SCAV La Fontésole,Francia,Languedoc,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Grenache, Syrah","13,5","3,5",2,100,"8,2",Gold
Asia Wine Trophy 2022,PURE Grenache - Bruno Andreu,2020,SAS Bruno Andreu,Francia,Languedoc,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Grenache, Syrah","14,46","3,2",0,12,23,Gold
Asia Wine Trophy 2022,CHATEAU BELAIR COUBET,2019,Vignobles A. Faure,Francia,Bordeaux,Vino tranquilo,Seco,tanque de acero,tinto,Malbec,14,"3,2","0,1",0,10,Gold
Asia Wine Trophy 2022,CHATEAU LES ARDOUINS,2021,Vignobles A. Faure,Francia,Bordeaux,Vino tranquilo,brut,maduración en barrica - parcialmente,tinto,Merlot,14,27,"0,2",57,8,Gold
Asia Wine Trophy 2022,SEI VIGNE INSYNTHESIS,2017,Vinchio - Vaglio Serra SCA,Italia,Piemont,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Barbera,"14,5","5,6","0,47",94,39,Gold
Asia Wine Trophy 2022,VIGNE VECCHIE,2019,Vinchio - Vaglio Serra SCA,Italia,Piemont,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Barbera,"14,5","5,82","0,5",56,"19,9",Gold
Asia Wine Trophy 2022,METIUSCO ROSSO,2021,Vinicola Palamà,Italia,Apulien,Vino tranquilo,semi-dry,No especificado,tinto,"Primitivo, Negroamaro, Malvasia Nera di Lecce","14,2","5,87","5,5",120,15,Gold
Asia Wine Trophy 2022,Il Pumo Primitivo Salento Igp,2021,San Marzano Vini,Italia,Apulien,Vino tranquilo,Semi seco,tanque de acero,tinto,Primitivo,"13,5","5,7",11,119,"7,5",Gold
Asia Wine Trophy 2022,IL VINO D'ARCANGELO,2020,Vinicola Palamà,Italia,Apulien,Vino tranquilo,semi-dry,maduración en barrica - 100%,tinto,Malvasia Nera di Lecce,"14,9",7,13,150,25,Gold
Asia Wine Trophy 2022,Familia Primitivo di Manduria Dop,2021,a6mani s.r.l.,Italia,Apulien,Vino tranquilo,Semi seco,maduración en barrica - 100%,tinto,Primitivo,14,"5,9",12,115,"11,9",Gold
Asia Wine Trophy 2022,Inizio Salento Igp Negroamaro,2021,Agricola Erario S.S.,Italia,Apulien,Vino tranquilo,Seco,tanque de acero,tinto,Negroamaro,"15,3","5,8",4,70,12,Gold
Asia Wine Trophy 2022,Notte Rossa Bascià Rosso Salento Igp,2021,Terre di Sava S.r.l.,Italia,Apulien,Vino tranquilo,Semi seco,maduración en barrica - 100%,tinto,"Negroamaro, Primitivo","14,5","6,7",16,145,"12,5",Gold
Asia Wine Trophy 2022,Gutturnio Classico Riserva D.O.C. Pleione,2018,Cantina Sociale di Vicobarone,Italia,Emilia-Romagna,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Barbera, Croatina","13,5","5,71","3,4",100,"8,45",Gold
Asia Wine Trophy 2022,Entre Dos Aguas tinto (12 meses en barrica),2020,Vinos Taberner Amado SL,España,Aragonien,Vino tranquilo,afrutado,maduración en barrica de madera,tinto,"Merlot, Cabernet Sauvignon, Garnatxa Negra, Sirah","14,5",5,"0,2",80,13,Gold
Asia Wine Trophy 2022,Monte Isidro,2020,Fundação ADFP,Portugal,Beiras,Vino tranquilo,Seco,tanque de acero,tinto,"Jaen, Aragonez, Rufete",15,"4,07","0,9",38,10,Gold
Asia Wine Trophy 2022,Sestal,2018,Finca Ses Talaioles S.L.,España,Balearen,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Merlot, Manto Negro, Callet, Cabernet Sauvignon, Syrah","14,5","5,6","0,49",90,30,Gold
Asia Wine Trophy 2022,Sestalino,2018,Finca Ses Talaioles S.L.,España,Balearen,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Syrah, Callet, Manto Negro, Tempranillo, Merlot, Cabernet Sauvignon",14,5,"0,43",96,19,Gold
Asia Wine Trophy 2022,Regent trocken im Barrique gereift,2017,Weingut W. Häfner,Alemania,Württemberg,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Regent,13,"5,6",3,121,"16,8",Gold
Asia Wine Trophy 2022,Terra Lapidis Spätburgunder,2020,Weingut Heinz Schneider,Alemania,Mosel,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Spätburgunder,"12,5","4,1","5,6",173,"10,5",Gold
Asia Wine Trophy 2022,Red Blend,sin añada,Casa Vinicola Natale Verga SpA,Italia,Italia,Vino tranquilo,Dulzura natural,maduración en barrica - 100%,tinto,"Corvina, Sangiovese, Nero d´Avola","13,55","5,32",15,175,5,Gold
Asia Wine Trophy 2022,Maestro Wine Secret Blend,2018,"S.C. ""Consalcom"" S.R.L. (T.M. ”Apriori Wine”)",Moldavia,Valul lui Traian,Vino tranquilo,Semi seco,maduración en barrica - 100%,tinto,"Saperavi, Fetească Neagră, Cabernet Sauvignon","14,8","5,3","9,7",115,"8,8",Gold
Asia Wine Trophy 2022,80 Vecchie Vigne,2019,Cignomoro SRL,Italia,Apulien,Vino tranquilo,Semi seco,maduración en barrica - 100%,tinto,Primitivo,"14,5","3,39","6,21",128,27,Gold
Asia Wine Trophy 2022,Altemura Primitivo di Manduria DOC,2019,Masseria Altemura,Italia,Apulien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Primitivo,"14,6",6,"8,86",81,"28,9",Gold
Asia Wine Trophy 2022,Primitivo di Manduria DOC,2020,Zonin 1821,Italia,Apulien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Primativo,"14,5",6,"15,5",80,"8,99",Gold
Asia Wine Trophy 2022,VINO NOBILE DI MONTEPULCIANO,2018,ICARIO SOC. AGRICOLA A R.L.,Italia,Toscana,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Sangiovese, Colorino","14,5","5,95","0,02",82,"10,8",Gold
Asia Wine Trophy 2022,VITAROCCIA RISERVA VINO NOBILE DI MONTEPULCIANO D.O.C.G.,2017,ICARIO SOC. AGRICOLA A R.L.,Italia,Toscana,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Sangiovese, Cabernet Sauvignon","14,5","5,56","0,02",24,"17,5",Gold
Asia Wine Trophy 2022,Barbera d'Asti,2020,Vino Pellegrino Piemonte,Italia,Piemont,Vino tranquilo,Seco,tanque de acero,tinto,Barbera,13,"5,47",4,140,15,Gold
Asia Wine Trophy 2022,TECTONIC - FETEASCA NEAGRA,2018,SC Mera Com International,Rumania,Moldova,Vino tranquilo,Seco,tanque de acero,tinto,Fetească Neagră,15,"5,8","0,7",50,11,Gold
Asia Wine Trophy 2022,Noian,2011,IS CVC Milestii Mici,Moldavia,Ialoveni,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Pinot, Carbenet, Merlot",13,"5,1","1,5",127,5,Gold
Asia Wine Trophy 2022,Carlevana Raritet Rubinus,2019,Carlevana Winery SRL,Moldavia,Mereni,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Merlot, Rara neagra, Malbec, Cabernet Sauvignon","13,8","0,59","5,2",127,5,Gold
Asia Wine Trophy 2022,Song of  David,2019,Binnun winery,Israel,Hügel von Judäa,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Cabernet Sauvignon, Merlot",14,"5,3","0,6",20,38,Gold
Asia Wine Trophy 2022,Apriori Emperico Rară Neagră & Malbec,2019,"S.C. ""Consalcom"" S.R.L. (T.M. ”Apriori Wine”)",Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Rara neagra, Malbec","13,8","5,3","4,2",118,"4,5",Gold
Asia Wine Trophy 2022,Apriori Emperico Saperavi,2018,"S.C. ""Consalcom"" S.R.L. (T.M. ”Apriori Wine”)",Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Saperavi,"13,8","5,4",5,88,"4,5",Gold
Asia Wine Trophy 2022,Maestro Wine Merlot,2019,"S.C. ""Consalcom"" S.R.L. (T.M. ”Apriori Wine”)",Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Merlot,"13,9",5,"2,5",147,"7,4",Gold
Asia Wine Trophy 2022,Apriori Wine Feteasca Neagră,2019,"S.C. ""Consalcom"" S.R.L. (T.M. ”Apriori Wine”)",Moldavia,Valul lui Traian,Vino tranquilo,Seco,tanque de acero,tinto,Fetească Neagră,"13,5","5,9","3,3",113,"3,7",Gold
Asia Wine Trophy 2022,"1752, Alta Expresión",2017,Bodegas el Tanino,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Garnacha Tintorera,15,"5,5","3,47",91,"7,5",Gold
Asia Wine Trophy 2022,Sesto 21 Syrah,2019,Alma Vini Srl,Italia,Latium,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Syrah,14,"5,4","10,2",140,"17,8",Gold
Asia Wine Trophy 2022,Panta Rei,2020,Alma Vini Srl,Italia,Latium,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Merlot, Cabernet Sauvignon",14,"4,95",8,110,"13,98",Gold
Asia Wine Trophy 2022,CARTAGLORIA,2018,Montedidio Societa Agricola SRL,Italia,Sizilien,Vino tranquilo,Semi seco,maduración en barrica - parcialmente,tinto,Syrah,15,"6,47","13,7",125,20,Gold
Asia Wine Trophy 2022,Lacrima,2021,Casalfarneto SRL,Italia,Marken,Vino tranquilo,Seco,tanque de acero,tinto,Lacrima,"13,5","5,22","4,1",86,"11,5",Gold
Asia Wine Trophy 2022,Château Bourdieu,2021,Vignobles Luc Schweitzer,Francia,Bordeaux,Vino tranquilo,Seco,tanque de acero,tinto,"Cabernet Franc, Merlot, Cabernet Sauvignon","14,5","3,08","0,5",45,"7,5",Gold
Asia Wine Trophy 2022,Château Luc de Beaumont,2021,Vignobles Luc Schweitzer,Francia,Bordeaux,Vino tranquilo,Seco,tanque de acero,tinto,Merlot,14,"3,18","0,2",55,"6,5",Gold
Asia Wine Trophy 2022,Château Grand Mazerolles,2021,Vignobles Luc Schweitzer,Francia,Bordeaux,Vino tranquilo,Seco,tanque de acero,tinto,Merlot,14,"2,96","0,5",35,"6,5",Gold
Asia Wine Trophy 2022,FLAPPER GIRL,2020,Vernice SRL,Italia,Kampanien,Vino tranquilo,Semi seco,maduración en barrica - parcialmente,tinto,Piedirosso,"14,5","6,61",14,121,"12,3",Gold
Asia Wine Trophy 2022,Ojos del Guadiana Reserva,2018,El Progreso S.Coop. De C-LM,España,La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"13,82","4,95",2,67,"3,15",Gold
Asia Wine Trophy 2022,Magusta,2018,João Augusto Castanheira Santiago,Portugal,Beiras,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Touriga Nacional, Syrah","13,6","0,74","1,9",94,9,Gold
Asia Wine Trophy 2022,Magusta,2019,João Augusto Castanheira Santiago,Portugal,Beiras,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Baga, Touriga Nacional, Syrah","13,4","6,2",2,69,9,Gold
Asia Wine Trophy 2022,Root: 1 Backbone,2019,Ventisquero Wine Estates,Chile,Colchagua Valley,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Syrah, Petit Verdot, Carmenère, Cabernet Sauvignon",14,5,"2,66",0,22,Gold
Asia Wine Trophy 2022,Magic Mountain,2016,Nico Lazaridis WIAC SA,Grecia,Makedonien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Cabernet Sauvignon, Cabernet Franc","14,5","5,63","1,2",148,"36,95",Gold
Asia Wine Trophy 2022,BLU ONICE  - IRPINIA AGLIANICO DOC,2019,Societa Agricola Nativ SRL,Italia,Kampanien,Vino tranquilo,Semi seco,maduración en barrica - 100%,tinto,Aglianico,14,"6,6","6,8",110,16,Gold
Asia Wine Trophy 2022,Scena - Merlot,2019,Vinaria Javgur - Javgurvin Grup S.R.L.,Moldavia,Cimislia,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Merlot,"13,5","5,4","1,6",90,15,Gold
Asia Wine Trophy 2022,Alcardet 12 meses,2018,Bodegas Alcardet,España,La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"13,5","5,13","2,2",125,"6,5",Gold
Asia Wine Trophy 2022,Viginti Tempranillo,2021,"Finca la Estacada, S.L.",España,La Mancha,Vino tranquilo,Seco,No especificado,tinto,Tempranillo,"13,5","0,15","0,3",58,"5,65",Gold
Asia Wine Trophy 2022,Viginti Cabernet,2021,"Finca la Estacada, S.L.",España,La Mancha,Vino tranquilo,Seco,No especificado,tinto,Cabernet Sauvignon,"14,5","4,62","0,36",72,"5,65",Gold
Asia Wine Trophy 2022,Merlot,2018,Cisterzienser Weingut,Alemania,Rheinhessen,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Merlot,"13,9","5,4","4,2",19,11,Grand Gold
Asia Wine Trophy 2022,Aproximar,2018,Adega Cooperativa Dois Portos,Portugal,Lisboa,Vino tranquilo,Seco,tanque de acero,tinto,"Touriga Nacional, Alicante Bouschet","13,97","4,37","0,6",52,8,Gold
Asia Wine Trophy 2022,Quinta da Samoça Vinhão,2021,"Terras de S. Martinho, Soc. Agrícola, Lda",Portugal,Minho,Vino tranquilo,Seco,tanque de acero,tinto,Vinhão,12,"6,3","1,5",10,"4,5",Gold
Asia Wine Trophy 2022,PLAGIOS RED,2015,Ktima Biblia Chora S.A.,Grecia,"Makedonien, Northgreece",Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Merlot,15,"6,23","1,98",93,21,Gold
Asia Wine Trophy 2022,ARETI RED,2015,Ktima Biblia Chora S.A.,Grecia,"Makedonien, Northgreece",Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Agiorgitiko,14,"5,4","2,73",98,"18,4",Gold
Asia Wine Trophy 2022,Artino,2020,Tenuta Iuzzolini SOC. Agricola A R.L.,Italia,Calabria,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Gaglioppo, Magliocco",14,"0,46","11,65",130,10,Gold
Asia Wine Trophy 2022,Puerta de Alcalá Reserva,2017,Vinos Jeromín,España,Madrid,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Merlot, Tempranillo, Syrah","14,5","5,6","0,3",104,7,Gold
Asia Wine Trophy 2022,Bream Creek Vineyard Reserve Pinot Noir,2021,Bream Creek Vineyard,Australia,Tasmanien,Vino tranquilo,brut nature,maduración en barrica - 100%,tinto,Pinot Noir,"14,5",7,0,110,40,Gold
Asia Wine Trophy 2022,Grego Crianza,2017,Vinos Jeromín,España,Madrid,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Merlot, Syrah, Tempranillo","14,5","5,25","0,61",93,12,Gold
Asia Wine Trophy 2022,VIZAR TEMPRANILLO SYRAH BARRICA ORGANIC,2018,PEÑALBA LA VERDE S.L.,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Tempranillo, Syrah","14,7","5,6","0,49",7,12,Gold
Asia Wine Trophy 2022,Yllera 12 Meses,2019,Bodegas Yllera,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Merlot, Cabernet Sauvignon, Tempranillo, Syrah","14,25","5,25","1,8",93,"6,95",Gold
Asia Wine Trophy 2022,Tesela by Clunia,2019,Bodegas Clunia,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Syrah, Tempranillo","14,5","5,51","1,95",98,14,Gold
Asia Wine Trophy 2022,ORNIS,2019,WINE AGROTRADE SRL,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Fetească Neagră, Merlot","14,5","4,9","0,96",80,10,Gold
Asia Wine Trophy 2022,Saperavi,2019,WINE AGROTRADE SRL,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Saperavi,14,"4,9","0,66",78,10,Gold
Asia Wine Trophy 2022,Monolith Riserva Montepulciano D'Abruzzo Doc,2018,Produttori Riuniti in Pian di Mare sca,Italia,Abruzzo,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Montepulciano d´ Abruzzo,14,6,4,130,"5,2",Gold
Asia Wine Trophy 2022,Cagiolo Montepulciano d'Abruzzo Dop Riserva,2017,Cantina Tollo S.C.A.,Italia,Abruzzo,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Montepulciano,"14,5","5,65","2,8",140,50,Gold
Asia Wine Trophy 2022,De Tomai,2016,S.C. «Tomai-Vinex» S.A.,Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Cabernet Sauvignon,"12,9","5,6","2,9",68,3,Gold
Asia Wine Trophy 2022,Lienzo Premium Blend,2017,Virgen de las Viñas Bodega y Almazara,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Cabernet Sauvignon, Tempranillo, Merlot","14,5",0,0,0,12,Gold
Asia Wine Trophy 2022,Cabeça Toiro DOC DoTejo Reserva Tinto,2020,"Enoport - Produção de Bebidas, Lda",Portugal,DOP Tejo,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Castelão, Syrah, Touriga Nacional","13,5","5,6",2,134,14,Gold
Asia Wine Trophy 2022,Bream Creek Vineyard Cabernet Merlot,2021,Bream Creek Vineyard,Australia,Tasmanien,Vino tranquilo,brut nature,maduración en barrica - 100%,tinto,"Cabernet Sauvignon, Merlot",13,"7,5","0,5",105,22,Gold
Asia Wine Trophy 2022,Arx,2018,Bodega Tesalia,España,Andalucía,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Petit Verdot, Cabernet Sauvignon, Syrah, Tintilla de Rota",14,"0,74","2,6",0,18,Gold
Asia Wine Trophy 2022,Barolo DOCG,2018,Azienda Agricola Roberto Sarotto,Italia,Piemont,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Nebbiolo,"14,5","4,9","2,7",110,25,Gold
Asia Wine Trophy 2022,LANGHE DOC NEBBIOLO,2021,Dezzani SRL,Italia,Piemont,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Nebbiolo,"13,6","5,3","6,5",120,11,Gold
Asia Wine Trophy 2022,Altos de Aranda,2018,Bodegas Viña Buena,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Tempranillo,14,"4,9","1,7",85,13,Gold
Asia Wine Trophy 2022,Pepe Yllera,2019,Bodegas Yllera,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Merlot, Tempranillo, Cabernet Sauvignon","14,91","5,05","1,7",43,"7,5",Gold
Asia Wine Trophy 2022,MALLEOLUS,2019,Bodegas Emilio Moro S.L.,España,Kastilien-León,Vino tranquilo,afrutado,maduración en barrica de madera,tinto,Tempranillo,"14,5","5,28","0,29",0,"31,9",Gold
Asia Wine Trophy 2022,BTT DESCOMPLICADOS SYRAH,2020,Bodegas Tagua Tagua SPA,Chile,Vale del Maule,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Sirah,"13,7","3,11","2,06",0,"24,99",Gold
Asia Wine Trophy 2022,Inima Xinomavro,2017,Katogi Averoff,Grecia,Makedonien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Xynomavro,"13,5","5,1","2,4",39,11,Gold
Asia Wine Trophy 2022,AROMANES Gigondas,2019,Sovex Grandschâteaux,Francia,Rhône,Vino tranquilo,afrutado,No especificado,tinto,"Mourvedre, Grenache, Sirah",15,0,0,0,"16,5",Gold
Asia Wine Trophy 2022,Malbec Limited Edition,2017,Castel Mimi SRL,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Malbec,14,5,2,76,8,Gold
Asia Wine Trophy 2022,The Governor Feteasca Neagra,2018,Castel Mimi SRL,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Fetească Neagră,15,5,3,74,12,Gold
Asia Wine Trophy 2022,Quinta dos Monteirinhos Manel Chaves,2018,"Quinta dos Monteirinhos, Lda",Portugal,Dão,Vino tranquilo,afrutado,maduración en barrica - parcialmente,tinto,Touriga Nacional,"14,5","5,54","0,4",29,"25,43",Gold
Asia Wine Trophy 2022,Rosu de Bulboaca Limited Edition,2018,Castel Mimi SRL,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Malbec, Cabernet Sauvignon, Merlot",15,3,3,87,10,Gold
Asia Wine Trophy 2022,CASTILLO SANTA BARBARA RESERVA,2018,Bodegas Fernando Castro,España,Castilla La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"13,45","5,2","2,6",74,6,Gold
Asia Wine Trophy 2022,Ordate Reserva,2018,Bodegas Fernando Castro,España,Castilla La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"13,45","5,2","2,6",74,6,Gold
Asia Wine Trophy 2022,BADORA,2018,Cantina di Sorso Sennori srl,Italia,Sardinien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Cagnulari,17,1,1,10,28,Gold
Asia Wine Trophy 2022,AVOC,2016,Cantina di Sorso Sennori srl,Italia,Sardinien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Malvasia Nera, Monica, Cannonau","13,5",1,1,7,16,Gold
Asia Wine Trophy 2022,Luna Vona Cannonau di Sardegna Doc,2020,Cantine di Orgosolo,Italia,Sardinien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Cannonau,"14,5","5,1",0,50,15,Gold
Asia Wine Trophy 2022,Feudo Antico Rosso Riserva Tullum Docg,2017,Feudo Antico SRL,Italia,Abruzzo,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Montepulciano,"14,5","5,7",4,130,50,Gold
Asia Wine Trophy 2022,Feudo Antico Rosso Tullum Docg,2017,Feudo Antico SRL,Italia,Abruzzo,Vino tranquilo,afrutado,Hormigón,tinto,Montepulciano,"13,5",5,"3,5",120,38,Grand Gold
Asia Wine Trophy 2022,MDE Grande Reserva Tinto,2019,"Menin Douro Estates , Lda",Portugal,Douro,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Cuvée,15,"6,5",0,0,48,Gold
Asia Wine Trophy 2022,Menin Reserva,2019,"Menin Douro Estates , Lda",Portugal,Douro,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Tinta Barocca, Cuvée, Tinta Amarella, Touriga Nacional, Touriga Franca","13,5","5,4","0,4",140,20,Gold
